Dep_number,crime
01,23673
02,24603
03,13318
04,7632
05,6299
06,84813
07,11898
08,11213
09,5976
10,14489
11,19009
12,7274
13,166077
14,27944
15,3454
16,14277
17,31451
18,12617
19,8180
2A,6599
2B,7815
21,22450
22,19002
23,2876
24,13752
25,25282
26,29191
27,23093
28,17781
29,36424
30,40885
31,85857
32,6134
33,80737
34,76821
35,42070
36,8258
37,25796
38,66797
39,8805
40,16487
41,14072
42,34839
43,6114
44,79642
45,33034
46,5395
47,12336
48,2076
49,29691
50,13800
51,31441
52,8147
53,9825
54,36680
55,8036
56,25898
57,44923
58,7815
59,161483
60,42302
61,9878
62,70045
63,26641
64,26781
65,9728
66,30946
67,47538
68,31744
69,123632
70,8642
71,19948
72,21211
73,25296
74,35120
75,243788
76,63195
77,82133
78,83821
79,12498
80,27431
81,13106
82,10948
83,62845
84,32577
85,22567
86,17653
87,13156
88,12462
89,16645
90,6479
91,71856
92,101152
93,141825
94,86031
95,87559
